Name,MA-50,MA-200,Close,Matched
ACC,1204.547,1438.5317,1156.6,***
ADANIPORTS,301.612,362.7545,270.65,*
AMARAJABAT,587.748,666.6027,532.1,*
AMBUJACEM,180.987,197.9662,167.95,**
APOLLOHOSP,1484.172,1456.7442,1359.5,**
BAJAJ-AUTO,2538.915,2868.9963,2445.3501,***
BALKRISIND,982.819,883.5587,867.75,***
BEL,74.079,96.3702,74.55,***
BERGEPAINT,514.182,460.322,519.7,***
BHARTIARTL,494.452,422.4448,494.25,***
CESC,564.479,711.9015,596.75,**
COALINDIA,154.621,190.812,137.0,*
COLPAL,1295.264,1361.9275,1483.65,**
DABUR,477.315,458.3547,499.05,***
ESCORTS,744.924,633.5892,717.0,***
EXIDEIND,153.237,178.9153,148.45,***
GLENMARK,269.372,335.4673,344.85,***
GODREJCP,567.876,648.2273,534.4,**
HAVELLS,568.021,644.5075,525.6,**
HCLTECH,509.827,540.9189,468.1,**
HINDPETRO,206.922,257.2838,201.4,***
HINDUNILVR,2203.171,2010.6002,2283.1001,***
IGL,428.87,391.818,437.25,***
JUBLFOOD,1577.836,1482.3185,1478.7,***
MARICO,284.631,343.9225,306.1,**
MARUTI,5684.118,6476.2388,5045.6499,*
MCDOWELL-N,586.555,599.7357,519.5,*
MFSL,453.868,456.0563,420.15,**
MGL,961.905,953.3492,913.05,***
MRF,62894.2779,62065.2075,58805.3984,**
MUTHOOTFIN,749.204,693.5143,813.95,**
NATIONALUM,33.269,41.467,31.5,***
NESTLEIND,15985.202,14241.003,17406.0996,**
NTPC,97.155,114.5098,93.4,***
PETRONET,227.119,253.6982,218.5,***
PFC,103.45,109.5653,91.05,*
POWERGRID,171.179,191.309,159.15,**
RELIANCE,1238.558,1350.1085,1417.0,***
SHREECEM,20614.5699,20482.548,18587.4004,*
SUNPHARMA,400.059,418.3005,485.55,*
IDEA,3.8659,5.7807,4.0,***
SUNTV,387.018,449.5882,376.9,***
TCS,1911.418,2087.8428,1818.55,**
TORNTPOWER,297.343,291.8355,303.8,***
ULTRACEMCO,3780.836,4124.021,3307.95,*
BIOCON,303.521,268.9025,357.4,*
BOSCHLTD,11597.192,14001.2015,10212.5,*
NAUKRI,2430.136,2383.9437,2327.1001,***
BPCL,382.389,427.1995,350.45,**
ASIANPAINT,1754.332,1692.7737,1827.55,***
BRITANNIA,2850.083,2922.239,3062.1499,***
GMRINFRA,19.038,18.834,17.15,**
DIVISLAB,2116.033,1820.9565,2425.3999,*
HDFCBANK,1030.364,1166.3957,938.05,**
HEROMOTOCO,1957.613,2384.1538,1894.8,***
HDFCLIFE,503.544,549.5083,453.35,*
ITC,182.649,232.5205,180.05,***
MINDTREE,865.526,780.8602,780.35,***
SRF,3518.551,3168.819,3488.05,***
LICHSGFIN,293.606,406.9743,260.65,*
TORNTPHARM,2123.276,1846.0602,2430.5,*
INFY,682.776,736.2427,658.0,***
PIDILITIND,1483.878,1384.2702,1505.2,***
PAGEIND,19752.276,21132.2586,17854.3008,*
SAIL,31.386,37.9235,26.9,*
SIEMENS,1237.748,1371.4977,1145.9,**
TATACHEM,275.3988,277.2172,270.05,***
